Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.050124092,1693646,170390663,3139874,1437742,140635117,23807
     0.100282990,2417252,184658740,3856777,1162831,165400993,117603
     0.150448054,8169966,332229024,11467206,2692278,440932356,442873
     0.200609075,10316427,471271166,12201319,3159201,540447476,444711
     0.250778032,11511606,414552589,15025312,3189790,555666982,729435
     0.300932820,11509678,514010378,12969713,2981815,555155944,359000
     0.351092955,12032783,466321889,14922175,3365591,557585419,487008
     0.401251470,12275860,450391437,14304760,3009827,556796741,629472
     0.451403098,7885131,560482002,8253572,2092846,562796223,268583
     0.501574093,6570443,574395793,7417128,1610711,566460750,578940
     0.551735241,7295494,416781626,9463505,1735638,538467515,1396592
     0.601903678,5402884,538024179,4986799,1134293,549915489,379994
     0.652067137,5195949,560157819,4472662,1119118,557895187,340961
     0.702223852,5232267,551584723,4649369,1090319,557963020,414156
     0.752407756,5793650,523801390,5653433,966681,549968091,517766
     0.802585831,9135479,522374099,9852933,1851568,546925979,686376
     0.852744370,10030658,586873425,9176342,2317157,558356901,320162
     0.902930556,9987014,385017313,12550253,2225005,538222544,1880533
     0.953138781,8824299,160285070,12884445,2296460,369312604,2208370
     1.003460706,7260753,227909911,10868630,1745105,354894826,1199683
     1.053630612,9659049,437300378,11778835,3021959,512291554,412729
     1.103793822,11325810,438818157,14194513,3356119,557087277,627096
     1.153957528,11853925,465830669,14100944,3076384,555712452,541351
     1.204119893,11670060,500502014,13716034,3136520,555798150,384110
     1.254289616,11621137,435113501,14893318,3277802,552060257,612914
     1.304436592,11405349,513099784,11763792,2617971,557141697,371889
     1.354602894,6541679,586880543,7469800,1716177,576399047,476629
     1.404768257,6374825,506788627,7466267,1573654,554090467,904178
     1.454934564,6514854,461678426,7654459,1469494,542486406,1006643
     1.505090351,5341685,562322600,4584477,1138178,557299749,323766
     1.555244166,5221050,555258022,4542685,1113381,554466232,388785
     1.605401529,5529886,549118556,4957044,1052809,558901406,449299
     1.655587024,8057539,531369105,9163605,1349322,557367925,809987
     1.705750746,10289045,594781897,9463802,2394165,564570611,325815
     1.755928515,10380027,512087183,11198472,2308671,567405727,1183499
     1.806141947,9329336,190468203,14027773,2287167,438713530,2507545
     1.856306022,6170447,146795583,9399864,1487549,245870274,1496777
     1.863705492,323865,17074901,469784,43871,14197819,50464
